FC,UniformAvgInventory,UniformFloored27,ProposedAvgInventory,ProposedFloored27
AZ-852,178.244189,110,127.465772,1
CA-900,400.276769,73,290.312050,1
CA-945,169.103548,107,128.603458,1
CO-802,267.045201,99,195.660528,1
FL-331,309.599156,87,234.452904,1
GA-303,6.356191,1,6.356191,1
IL-606,592.725790,66,452.667902,1
MA-021,252.315413,101,189.743164,1
MI-481,423.588956,76,322.597375,1
NC-275,324.151375,91,250.595973,1
NJ-070,902.431417,34,691.422065,1
TX-750,263.346662,97,198.384948,1
TX-770,239.953532,100,179.926168,1
UT-841,91.898016,78,60.308211,6
WA-980,135.367403,105,101.542537,1
