ClosestFC,Primary,Secondary,Tertiary
AZ-852,0.030862942,0.00963209,0
CA-900,0.077929906,0.01314286,0
CA-945,0.031221431,0.011028988,0
CO-802,0.045015176,0.007192726,0.003748847
FL-331,0.053371532,0.005976121,0
GA-303,0.037432866,0.042991361,0.002527435
IL-606,0.074329013,0.040587042,0
MA-021,0.041743706,0.006541868,0.000148201
MI-481,0.044241101,0.038655512,0
NC-275,0.019149022,0.038265958,0
NJ-070,0.15769633,0.017843164,0
TX-750,0.02788986,0.022953187,0
TX-770,0.030594558,0.010614425,0.004756463
UT-841,0.014302415,0.003718012,0.00092121
WA-980,0.025035023,0.007730485,0.000208283
