Market,PromiseDays,ConvertedUnits,Revenue,ShippingCost,NetRevenue,GrossProfit
Primary,1,66020.48614728,198061458.44184,49388947.56981289,148672510.8720271,99157146.2615671
Primary,2,59418.437532552,178255312.597656,25642318.578762025,152612994.018894,108049165.86947998
Primary,3,49515.36461046,148546093.83138,14048281.571042342,134497812.26033765,97361288.80249265
Primary,4,39612.291688368,118836875.065104,6791054.141410271,112045820.9236937,82336602.15741771
Primary,5,26408.194458912,79224583.376736,3834455.423125536,75390127.95361046,55583982.10942647
Primary,5+,19806.145844184,59418437.532552,2431218.837883032,56987218.694668956,42132609.31153096
Secondary,1,25716.03845112,77148115.35336,25570998.4790448,51577116.8743152,32290088.035975203
Secondary,2,25716.03845112,77148115.35336,14526187.830925921,62621927.52243408,43334898.68409408
Secondary,3,24430.236528564,73290709.585692,9175602.687234264,64115106.89845772,45792429.502034724
Secondary,4,19287.02883834,57861086.51502,4363055.75791296,53498030.757107034,39032759.12835203
Secondary,5,15429.623070672,46288869.212016,2843824.583399184,43445044.62861681,31872827.325612813
Secondary,5+,10286.415380448,30859246.141344,1585910.188963296,29273335.952380706,21558524.417044707
Tertiary,1,1143.39357432,3430180.72296,1697653.6744644,1732527.0484956,874981.8677556
Tertiary,2,1143.39357432,3430180.72296,917188.61293008,2512992.11002992,1655446.92928992
Tertiary,3,1143.39357432,3430180.72296,618188.48296056,2811992.23999944,1954447.05925944
Tertiary,4,1086.223895604,3258671.686812,345088.443685464,2913583.2431265353,2098915.3214235352
Tertiary,5,914.714859456,2744144.578368,223945.827812352,2520198.750555648,1834162.6059636478
Tertiary,5+,686.036144592,2058108.433776,136998.330950016,1921110.102825984,1406582.994381984
