Facility,MaxDailyThroughputUnits,RawResources,Resources,ResidualUnitsIfRoundedDown
AZ-852,205.589876,6.815646,7,0
CA-900,480.761901,15.938056,16,0
CA-945,227.563729,7.544116,8,0
CO-802,285.763843,9.473546,10,0
FL-331,298.077180,9.881754,10,0
GA-303,193.758578,6.423419,7,0
IL-606,577.047408,19.130081,19,3.923808
MA-021,241.591052,8.009145,8,0.275852
MI-481,408.730631,13.550100,14,0
NC-275,278.813562,9.243133,9,7.333962
NJ-070,881.434356,29.221014,29,6.666756
TX-750,252.902179,8.384128,9,0
TX-770,230.154578,7.630007,8,0
UT-841,92.984173,3.082580,3,2.490973
WA-980,156.765962,5.197052,5,5.943962
DC-GA-303,5459.012618,180.975342,181,0
